DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P9460,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S7A1,P7420S8,P7422,P7422S1,P1806,P1519,P1883,RAMA2D_D_R4,OFICIO2,OFICIO1,DSI,DSCY,RAMA4D_D_R4,DPTO,MES,fex_c_2018
5524698,1,1,1,70,52,4,48,1,,2,6,4,,7,2,1,,,,,,,,,,,1,1,800000,900000,2,,85,58,58,1,1,8530,52,08,9.5962987589
5528984,1,2,1,70,52,12,48,1,,2,48,4,,2,2,1,,,,,,,,,,,1,2,,900000,2,,16,81,45,1,1,1630,52,08,31.691358461
5528986,1,2,1,70,52,4,40,1,,2,288,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,55,55,1,1,9700,52,08,9.5962987589
5528990,1,1,1,70,52,8,40,1,,2,9,4,,4,2,2,,,,,,,,,,,1,2,,908000,2,,56,53,53,1,1,5611,52,08,22.469909597
5528992,1,1,1,70,52,12,40,3,,2,8,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,55,1,1,9700,52,08,26.821812285
5528998,1,8,1,70,52,5,48,1,,2,6,1,,2,2,1,,,,,,,,,,,1,1,500000,700000,2,,41,95,95,1,1,4111,52,08,12.876282993
5529499,1,2,1,70,52,7,40,4,,2,30,4,,4,2,1,,,,,,,,,,,1,2,,800000,2,,41,95,95,1,1,4111,52,08,17.520371476
5529504,1,1,1,70,52,20,40,1,,2,48,1,,5,2,1,,,,,,,,,,,1,2,,2000000,2,,85,13,13,1,2,8530,52,08,9.5962987589
5530102,1,1,1,70,52,5,40,1,,2,58,4,,7,2,1,,,,,,,,,,,1,2,,900000,2,,49,55,45,1,1,4921,52,08,22.565525529
5530442,1,4,1,70,52,8,40,1,,2,12,4,,4,2,1,,,,,,,,,,,1,2,,900000,2,,56,53,53,1,1,5611,52,08,20.057574553
5530446,1,2,1,70,52,8,40,3,,2,40,3,,1,2,1,,,,,,,,,,,1,2,,900000,2,,97,54,55,1,1,9700,52,08,22.565525529
5530448,1,1,1,70,52,16,24,1,,2,36,4,,3,2,1,,,,,,,,,,,1,2,,908000,2,,46,45,45,1,2,4632,52,08,19.631143817
5542346,1,2,1,70,52,12,28,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,13,1,1,,52,08,26.547085295
5542348,1,2,1,70,52,32,40,2,,2,80,4,,6,2,2,,,,,,,,,,,1,2,,2000000,2,,85,13,13,1,2,8530,52,08,13.732504184
5542351,1,3,1,70,52,12,28,1,,1,,,,,,,,.,,,,,,,,.,,,,1000000,,,,,13,1,1,,52,08,9.5962987589
5542352,1,2,1,70,52,12,40,1,,2,52,4,,3,2,1,,,,,,,,,,,1,2,,908000,2,,41,95,95,1,1,4111,52,08,38.385195035
5542353,1,1,1,70,52,24,40,1,,2,28,4,,6,2,1,,,,,,,,,,,1,2,,1400000,2,,84,03,03,1,2,8422,52,08,9.5962987589
5542356,1,1,1,70,52,6,40,1,,1,,,,,,,,.,,,,,,,,.,,,,700000,,,,,45,1,1,,52,08,22.84025252
5542357,1,1,1,70,52,7,48,1,,2,8,4,,7,2,1,,,,,1,,,,,,,2,,900000,2,,86,59,59,1,1,8621,52,08,9.5962987589
5542358,1,2,1,70,52,8,20,1,,2,20,4,,3,2,1,,,,,,,,,,,1,2,,800000,2,,46,45,39,1,1,4642,52,08,26.936313347
5548420,1,2,1,70,52,11,40,1,,2,12,1,,4,2,1,,,,,,,,,,,1,2,,900000,2,,46,45,33,1,1,4663,52,09,12.150673401
5548422,1,3,1,70,52,16,40,1,,2,24,4,,2,2,1,,,,,,,,,,,1,2,,908000,2,,41,95,95,1,2,4111,52,09,29.233823948
5548422,1,5,1,70,52,12,40,4,,2,32,4,,2,2,1,,,,,,,,,,,1,2,,908000,2,,95,85,85,1,1,9522,52,09,29.233823948
5548426,1,5,1,70,52,8,56,1,,2,48,1,,5,2,1,,,,,,,,,,,1,2,,700000,2,,88,13,13,1,1,8891,52,09,12.150673401
5548427,1,1,1,70,52,11,48,1,,2,12,1,,6,2,1,,,,,1,,,,,,,2,,2000000,2,,88,19,19,1,1,8891,52,09,44.116705981
5548431,1,2,1,70,52,28,24,1,,2,34,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,45,1,2,9700,52,09,48.602693603
5548432,1,1,1,70,52,7,48,1,,2,8,4,,3,2,1,,,1,,,,,,,,,1,700000,900000,2,,86,59,59,1,1,8621,52,09,12.150673401
5548438,1,2,1,70,52,20,40,1,,2,30,4,,3,2,1,,,,,,,,,,,1,2,,600000,2,,56,53,53,1,2,5611,52,09,12.150673401
5548440,1,2,1,70,52,18,48,1,,2,20,1,,9,2,1,,,,,,,,,,,1,2,,1000000,2,,86,59,59,1,2,8621,52,09,12.150673401
5549598,1,1,1,70,52,12,40,4,,2,16,4,,2,2,1,,,,,,,,,,,1,2,,600000,2,,41,95,95,1,1,4111,52,09,12.150673401
5549599,1,2,1,70,52,24,40,1,,2,30,4,,5,2,1,,,,,,,,,,,1,2,,1200000,2,,88,13,13,1,2,8891,52,09,35.566393032
5549600,1,3,1,70,52,12,40,1,,2,30,4,,3,2,1,,,,,,,,,,,1,2,,908000,2,,46,41,39,1,1,4642,52,09,12.150673401
5549600,1,4,1,70,52,3,20,1,,2,4,4,,5,2,1,,,,,,,,,,,1,1,800000,908000,2,,46,45,33,1,1,4632,52,09,12.150673401
5550785,1,1,1,70,52,24,40,1,,2,40,4,,2,2,1,,,,,,,,,,,1,2,,900000,2,,47,41,45,1,2,4771,52,09,12.150673401
5550787,1,1,1,70,52,8,40,1,,2,30,1,,3,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,13,1,1,4719,52,09,12.150673401
5553804,1,3,1,70,52,4,20,1,,1,,,,,,,,.,,,,,,,,.,,,,500000,,,,,45,1,1,,52,09,12.150673401
5554400,1,2,1,70,52,6,20,1,,1,,,,,,,,.,,,,,,,,.,,,,800000,,,,,45,1,1,,52,09,12.150673401
5554401,1,2,1,70,52,7,40,1,,2,90,3,,1,2,1,,,,,,,,,,,1,2,,900000,2,,97,54,55,1,1,9700,52,09,12.150673401
5554586,1,1,1,70,52,7,40,1,,2,8,4,,3,2,1,,,,,,,,,,,1,2,,908000,2,,47,41,45,1,1,4771,52,09,23.110534038
5554588,1,3,1,70,52,18,42,2,,2,86,4,,7,2,1,,,,,,,,,,,1,2,,2000000,2,,85,13,13,1,2,8530,52,09,30.128561792
5554591,1,2,1,70,52,6,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,09,48.602693603
5559071,1,5,1,70,52,12,40,1,,2,120,1,,9,2,1,,,,,,,,,,,1,2,,908000,2,,86,59,59,1,1,8621,52,09,12.150673401
5559072,1,3,1,70,52,16,40,1,,2,100,4,,3,2,1,,,,,,,,,,,1,2,,900000,2,,10,45,45,1,2,1081,52,09,12.150673401
5559072,1,4,1,70,52,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,09,12.150673401
5560113,1,3,1,70,52,12,40,4,,2,16,4,,2,2,1,,,,,,,,,,,1,2,,600000,2,,41,95,95,1,1,4111,52,09,48.602693603
5560284,1,2,1,70,52,16,40,1,,2,50,4,,5,2,1,,,,,,,,,,,1,2,,900000,2,,47,41,45,1,2,4711,52,09,12.150673401
5560285,1,1,1,70,52,7,40,1,,2,24,3,,1,2,1,,,,,,,,,,,1,2,,800000,2,,97,54,45,1,1,9700,52,09,16.571129453
5565244,1,3,1,70,52,8,48,1,,2,12,4,,2,2,1,,,,,,,,,,,1,2,,900000,2,,47,41,45,1,1,4771,52,09,30.699623941
5566210,1,4,1,70,52,6,20,1,,1,,,,,,,,.,,,,,,,,.,,,,600000,,,,,45,1,1,,52,09,21.584470256
5566213,1,3,1,70,52,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,09,32.928742041
5576886,1,1,1,70,52,8,24,1,,1,,,,,,,,.,,,,,,,,.,,,,700000,,,,,45,1,1,,52,10,36.659576107
5576888,1,2,1,70,52,4,40,1,,2,5,4,,3,2,1,,,,,,,,,,,1,1,280000,700000,2,,41,95,95,1,1,4111,52,10,34.266363218
5579126,1,1,1,70,52,16,40,1,,2,36,4,,3,2,1,,,,,,,,,,,1,2,,908000,2,,41,95,95,1,2,4111,52,10,12.620483683
5579126,1,2,1,70,52,12,40,1,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,,55,1,1,,52,10,12.620483683
5579131,1,4,1,70,52,8,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,10,34.556511065
5585408,1,1,1,70,52,16,40,1,,2,30,4,,2,2,1,,,,,,,,,,,1,2,,1200000,2,,47,45,59,1,2,4771,52,10,25.033609952
5585408,1,2,1,70,52,4,42,4,,2,5,4,,2,2,1,,,,,,,,,,,1,1,500000,1000000,2,,96,57,57,1,1,9602,52,10,25.033609952
5585409,1,1,1,70,52,16,28,1,,2,72,4,,2,2,2,,,,,,,,,,,1,2,,908000,2,,56,53,55,1,2,5630,52,10,30.925242699
5590860,1,1,1,70,52,4,40,4,,2,5,4,,2,2,1,,,,,,,,,,,1,1,800000,800000,2,,41,95,95,1,1,4111,52,10,30.925242699
5590863,1,1,1,70,52,4,48,1,,2,6,3,,1,2,1,,,,,,,,,,,1,1,140000,900000,2,,97,54,55,1,1,9700,52,10,40.995557649
5590863,1,3,1,70,52,6,24,3,,1,,,,,,,,.,,,,,,,,.,,,,600000,,,,,55,1,1,,52,10,40.995557649
5590867,1,3,1,70,52,6,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,10,18.026560914
5590868,1,3,1,70,52,4,40,1,,2,5,1,,9,2,1,,,,,,,,,,,1,1,800000,900000,2,,01,62,03,1,1,0126,52,10,12.620483683
5595063,1,4,1,70,52,12,40,1,,2,40,4,,4,2,1,,,,,,,,,,,1,2,,1200000,2,,47,45,07,1,1,4771,52,10,36.105474097
5596315,1,5,1,70,52,2,48,1,,2,3,4,,5,2,1,,,,,,,,,,,1,1,300000,900000,2,,55,55,33,1,1,5511,52,10,15.660007028
5596316,1,3,1,70,52,12,40,3,,2,16,4,,3,2,1,,,,,,,,,,,1,2,,500000,2,,55,54,54,1,1,5511,52,10,19.248201576
5597238,1,4,1,70,52,12,40,1,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,,59,1,1,,52,10,21.511374558
5597242,1,3,1,70,52,6,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,10,29.259245546
5597245,1,3,1,70,52,4,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,10,25.64928143
5597246,1,3,1,70,52,12,40,1,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,,58,1,1,,52,10,28.152840266
5597253,1,1,1,70,52,16,40,1,,2,20,4,,2,2,1,,,,,,,,,,,1,2,,600000,2,,41,95,95,1,2,4111,52,10,20.870742136
6004972,1,2,1,70,52,20,40,1,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,,39,1,2,,52,11,10.374401341
6004976,1,2,1,70,52,6,20,1,,1,,,,,,,,.,,,,,,,,.,,,,500000,,,,,55,1,1,,52,11,10.374401341
6004980,1,2,1,70,52,4,40,2,,2,5,4,,9,2,1,,,,,,,,,,,1,1,1400000,1500000,2,,84,39,03,1,1,8412,52,11,10.374401341
6004987,1,2,1,70,52,4,48,1,,2,5,4,,2,2,1,,,,,,,,,,,1,1,700000,800000,2,,41,95,95,1,1,4111,52,11,10.374401341
6004988,1,1,1,70,52,4,40,1,,2,5,1,,6,2,1,,,,,,,,,,,1,1,1200000,908000,2,,85,13,08,1,1,8544,52,11,26.449984958
6004990,1,3,1,70,52,8,48,1,,2,16,4,,1,2,1,,,,,,,,,,,1,2,,900000,2,,49,98,03,1,1,4921,52,11,23.031901527
6004991,1,4,1,70,52,8,48,1,,2,60,1,,4,2,1,,,,,,,,,,,1,2,,900000,2,,47,45,45,1,1,4772,52,11,10.374401341
6004991,1,6,1,70,52,5,48,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,11,10.374401341
6004991,1,7,1,70,52,14,40,1,,1,,,,,,,,.,,,,,,,,.,,,,500000,,,,,45,1,2,,52,11,10.374401341
6017498,1,2,1,70,52,4,40,1,,2,40,3,,1,2,1,,,,,,,,,,,1,2,,900000,2,,97,54,55,1,1,9700,52,11,31.087033414
6017500,1,1,1,70,52,4,40,3,,2,240,4,,1,2,1,,,,,,,,,,,1,2,,500000,2,,61,38,54,1,1,6190,52,11,26.449984958
6017502,1,3,1,70,52,12,40,1,,2,28,4,,2,2,1,,,,,,,,,,,1,2,,908000,2,,47,45,39,1,1,4761,52,11,23.031901527
6017503,1,2,1,70,52,8,48,1,,1,,,,,,,,.,,,,,,,,.,,,,700000,,,,,45,1,1,,52,11,10.374401341
6017506,1,4,1,70,52,6,40,1,,2,8,3,,1,2,1,,,,,,,,,,,1,2,,1200000,2,,81,55,03,1,1,8121,52,11,10.374401341
6017507,1,3,1,70,52,8,24,4,,2,32,4,,2,2,1,,,,,,,,,,,1,2,,600000,2,,47,53,53,1,1,4724,52,11,10.374401341
6017510,1,1,1,70,52,16,40,1,,2,80,3,,1,2,1,,,,,,,,,,,1,2,,900000,2,,97,54,55,1,2,9700,52,11,10.374401341
6017510,1,4,1,70,52,8,48,1,,2,36,1,,4,2,1,,,,,,,,,,,1,2,,1200000,2,,46,45,95,1,1,4663,52,11,10.374401341
6017511,1,1,1,70,52,14,40,1,,2,65,3,,1,2,1,,,,,,,,,,,1,2,,900000,2,,97,54,55,1,2,9700,52,11,21.660432114
6017514,1,2,1,70,52,10,40,1,,2,60,4,,3,2,1,,,,,,,,1,,,,2,,900000,2,,47,45,45,1,1,4771,52,11,10.374401341
6017515,1,1,1,70,52,12,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,11,45.38152012
6017520,1,1,1,70,52,16,40,1,,2,60,4,,2,2,1,,,,,,,,,,,1,2,,900000,2,,56,53,57,1,2,5611,52,11,10.374401341
6017523,1,3,1,70,52,12,40,1,,1,,,,,,,,.,,,,,,,,.,,,,1200000,,,,,09,1,1,,52,11,10.374401341
6017524,1,3,1,70,52,12,40,1,,1,,,,,,,,.,,,,,,,,.,,,,908000,,,,,45,1,1,,52,11,10.374401341
6017526,1,2,1,70,52,16,40,1,,2,56,4,,2,2,2,,,,,,,,1,,,,2,,1200000,2,,47,40,09,1,2,4731,52,11,10.374401341
6017536,1,2,1,70,52,18,48,1,,2,20,4,,5,2,1,,,,,,,,,,,1,2,,2000000,2,,56,02,02,1,2,5611,52,11,11.175057923
6017547,1,3,1,70,52,6,28,1,,1,,,,,,,,.,,,,,,,,.,,,,700000,,,,,45,1,1,,52,11,28.573323858
6017560,1,1,1,70,52,4,40,1,,2,80,3,,1,2,1,,,,,,,,,,,1,2,,900000,2,,81,55,45,1,1,8121,52,11,31.087033414
6017562,1,3,1,70,52,4,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,1,,52,11,10.374401341
6024500,1,1,1,70,52,12,40,1,,2,240,4,,9,2,1,,,,,,,,,,,1,2,,700000,2,,86,59,59,1,1,8621,52,11,10.374401341
6024501,1,1,1,70,52,8,40,1,,2,18,1,,9,2,1,,,,,,,,,,,1,2,,1200000,2,,01,62,13,1,1,0126,52,11,33.362876702
6024505,1,2,1,70,52,14,28,1,,2,40,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,45,1,2,9700,52,11,47.722246169
6024512,1,2,1,70,52,16,40,1,,1,,,,,,,,.,,,,,,,,.,,,,900000,,,,,45,1,2,,52,11,10.374401341
6044461,1,2,1,70,52,12,40,2,,2,72,4,,9,2,2,,,,,,,,,,,1,2,,1500000,2,,84,32,13,1,1,8412,52,12,13.574874687
6044467,1,1,1,70,52,3,48,1,,2,4,4,,2,2,1,,,,,,,,,,,1,1,700000,900000,2,,41,95,95,1,1,4111,52,12,57.014473684
6044470,1,2,1,70,52,6,40,1,,1,,,,,,,,,,,,,,,,,,,,900000,,,,,45,1,1,,52,12,13.574874687
6044472,1,2,1,70,52,16,40,2,,2,18,4,,9,2,1,,,,,,,,,,,1,2,,1500000,2,,84,09,09,1,2,8412,52,12,51.83627439
6044483,1,2,1,70,52,14,20,1,,2,58,3,,1,2,1,,,,,,,,,,,1,2,,700000,2,,81,55,45,1,2,8121,52,12,13.574874687
6044483,1,3,1,70,52,24,40,1,,2,30,4,,3,2,1,,,,,,,,,,,1,2,,1200000,2,,56,53,03,1,2,5611,52,12,13.574874687
6044483,1,4,1,70,52,4,40,1,,1,,,,,,,,,,,,,,,,,,,,800000,,,,,45,1,1,,52,12,13.574874687
6045047,1,1,1,70,52,12,40,1,,2,40,3,,1,2,1,,,,,,,,,,,1,2,,900000,2,,81,55,13,1,1,8121,52,12,54.607231618
6045047,1,2,1,70,52,8,40,1,,2,20,4,,4,2,1,,,,,,,,,,,1,2,,600000,2,,47,45,45,1,1,4771,52,12,54.607231618
6045048,1,3,1,70,52,6,40,1,,1,,,,,,,,,,,,,,,,,,,,900000,,,,,45,1,1,,52,12,13.574874687
6045048,1,4,1,70,52,8,40,1,,2,30,4,,3,2,1,,,,,,,,,,,1,2,,800000,2,,03,64,64,1,1,0311,52,12,13.574874687
6045048,1,6,1,70,52,4,40,1,,2,24,4,,2,2,1,,,,,,,,,,,1,2,,600000,2,,96,57,55,1,1,9602,52,12,13.574874687
6045049,1,2,1,70,52,8,24,1,,2,80,4,,3,2,1,,,,,,,,,,,1,2,,400000,2,,47,45,45,1,1,4771,52,12,51.83627439
6045053,1,2,1,70,52,4,40,1,,1,,,,,,,,,,,,,,,,,,,,600000,,,,,45,1,1,,52,12,57.014473684
6045832,1,1,1,70,52,16,40,1,,2,120,3,,1,2,1,,,,,,,,,,,1,2,,500000,2,,97,54,54,1,2,9700,52,12,13.574874687
6045836,1,3,1,70,52,12,42,1,,2,16,1,,4,2,1,,,,,,,,,,,1,2,,2000000,2,,85,13,13,1,1,8530,52,12,13.574874687
6051035,1,4,1,70,52,12,48,1,,1,,,,,,,,,,,,,,,,,,,,900000,,,,,45,1,1,,52,12,13.574874687
6052345,1,4,1,70,52,4,28,1,,1,,,,,,,,,,,,,,,,,,,,500000,,,,,45,1,1,,52,12,26.18947325
6057874,1,3,1,70,52,8,48,1,,1,,,,,,,,,,,,,,,,,,,,2000000,,,,,06,1,1,,52,12,13.574874687
6059471,1,2,1,70,52,12,48,1,,2,20,4,,2,2,1,,,,,,,,,,,1,2,,600000,2,,41,95,95,1,1,4111,52,12,41.629422517
6059471,1,4,1,70,52,15,28,1,,2,48,4,,4,2,1,,,,,,,,,,,1,2,,700000,2,,47,45,45,1,2,4771,52,12,41.629422517
6059472,1,2,1,70,52,4,40,2,,2,5,4,,5,2,2,,,,,,,,,,,1,1,1400000,2000000,2,,85,13,13,1,1,8530,52,12,13.574874687
6059475,1,2,1,70,52,8,40,2,,2,140,4,,9,2,2,,,,,,,,,,,1,2,,1000000,2,,86,07,07,1,1,8621,52,12,13.574874687
6059475,1,3,1,70,52,12,48,1,,1,,,,,,,,,,,,,,,,,,,,2000000,,,,,06,1,1,,52,12,13.574874687
6059476,1,2,1,70,52,15,40,2,,2,24,4,,5,2,2,,,,,,,,,,,1,2,,2000000,2,,85,13,13,1,2,8530,52,12,13.574874687
